"run","random_seed","Offer"
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,50
1,286557223,50
1,286557223,20
1,286557223,50
1,286557223,40
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,50
1,286557223,40
1,286557223,10
1,286557223,50
1,286557223,50
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,70
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,20
1,286557223,50
1,286557223,30
1,286557223,70
1,286557223,70
1,286557223,50
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,50
1,286557223,60
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,70
1,286557223,50
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,80
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,40
1,286557223,60
1,286557223,20
1,286557223,20
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,60
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,50
1,286557223,70
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,60
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,40
1,286557223,50
1,286557223,20
1,286557223,80
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,60
1,286557223,10
1,286557223,40
1,286557223,30
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,50
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,70
1,286557223,20
1,286557223,20
1,286557223,70
1,286557223,30
1,286557223,50
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,40
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,50
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,60
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,60
1,286557223,40
1,286557223,50
1,286557223,40
1,286557223,20
1,286557223,50
1,286557223,30
1,286557223,70
1,286557223,20
1,286557223,50
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,70
1,286557223,40
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,80
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,60
1,286557223,20
1,286557223,50
1,286557223,70
1,286557223,30
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,70
1,286557223,50
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,50
1,286557223,50
1,286557223,50
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,20
1,286557223,20
1,286557223,70
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,40
1,286557223,70
1,286557223,40
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,40
1,286557223,40
1,286557223,30
1,286557223,20
1,286557223,40
1,286557223,10
1,286557223,40
1,286557223,50
1,286557223,70
1,286557223,60
1,286557223,50
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,50
1,286557223,40
1,286557223,30
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,50
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,60
1,286557223,10
1,286557223,80
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,70
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,10
1,286557223,80
1,286557223,70
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,80
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,70
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,50
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,50
1,286557223,20
1,286557223,40
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,60
1,286557223,40
1,286557223,80
1,286557223,40
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,70
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,40
1,286557223,10
1,286557223,40
1,286557223,50
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,40
1,286557223,30
1,286557223,20
1,286557223,50
1,286557223,30
1,286557223,30
1,286557223,60
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,50
1,286557223,20
1,286557223,40
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,70
1,286557223,40
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,50
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,50
1,286557223,20
1,286557223,70
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,20
1,286557223,20
1,286557223,60
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,20
1,286557223,30
1,286557223,50
1,286557223,70
1,286557223,60
1,286557223,10
1,286557223,60
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,40
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,60
1,286557223,40
1,286557223,80
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,50
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,70
1,286557223,30
1,286557223,40
1,286557223,50
1,286557223,40
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,20
1,286557223,60
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,60
1,286557223,10
1,286557223,50
1,286557223,40
1,286557223,10
1,286557223,40
1,286557223,70
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,20
1,286557223,50
1,286557223,70
1,286557223,20
1,286557223,10
1,286557223,50
1,286557223,10
1,286557223,50
1,286557223,50
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,40
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,20
1,286557223,70
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,10
1,286557223,60
1,286557223,10
1,286557223,10
1,286557223,70
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,50
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,60
1,286557223,40
1,286557223,50
1,286557223,70
1,286557223,70
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,60
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,80
1,286557223,20
1,286557223,30
1,286557223,80
1,286557223,30
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,60
1,286557223,10
1,286557223,20
1,286557223,80
1,286557223,30
1,286557223,60
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,70
1,286557223,30
1,286557223,60
1,286557223,40
1,286557223,20
1,286557223,50
1,286557223,30
1,286557223,40
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,60
1,286557223,20
1,286557223,10
1,286557223,70
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,40
1,286557223,70
1,286557223,30
1,286557223,40
1,286557223,50
1,286557223,50
1,286557223,20
1,286557223,30
1,286557223,50
1,286557223,70
1,286557223,30
1,286557223,30
1,286557223,20
1,286557223,50
1,286557223,80
1,286557223,20
1,286557223,20
1,286557223,60
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,40
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,60
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,60
1,286557223,10
1,286557223,70
1,286557223,10
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,20
1,286557223,70
1,286557223,10
1,286557223,30
1,286557223,60
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,50
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,60
1,286557223,40
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,40
1,286557223,50
1,286557223,30
1,286557223,50
1,286557223,50
1,286557223,10
1,286557223,20
1,286557223,80
1,286557223,60
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,80
1,286557223,40
1,286557223,20
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,20
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,20
1,286557223,30
1,286557223,50
1,286557223,40
1,286557223,10
1,286557223,70
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,30
1,286557223,50
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,50
1,286557223,50
1,286557223,40
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,40
1,286557223,20
1,286557223,30
1,286557223,80
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,30
1,286557223,60
1,286557223,70
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,70
1,286557223,10
1,286557223,40
1,286557223,30
1,286557223,20
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,50
1,286557223,50
1,286557223,30
1,286557223,10
1,286557223,70
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,80
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,70
1,286557223,80
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,30
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,50
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,60
1,286557223,20
1,286557223,50
1,286557223,30
1,286557223,50
1,286557223,50
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,60
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,70
1,286557223,20
1,286557223,40
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,70
1,286557223,60
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,50
1,286557223,20
1,286557223,60
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,40
1,286557223,40
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,50
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,20
1,286557223,20
1,286557223,70
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,80
1,286557223,30
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,60
1,286557223,80
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,40
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,50
1,286557223,30
1,286557223,60
1,286557223,60
1,286557223,20
1,286557223,50
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,80
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,80
1,286557223,30
1,286557223,70
1,286557223,80
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,70
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,50
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,80
1,286557223,40
1,286557223,20
1,286557223,50
1,286557223,10
1,286557223,70
1,286557223,30
1,286557223,50
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,50
1,286557223,60
1,286557223,30
1,286557223,70
1,286557223,60
1,286557223,80
1,286557223,70
1,286557223,40
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,50
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,70
1,286557223,50
1,286557223,30
1,286557223,30
1,286557223,70
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,50
1,286557223,20
1,286557223,70
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,50
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,40
1,286557223,40
1,286557223,40
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,60
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,70
1,286557223,70
1,286557223,20
1,286557223,20
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,60
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,50
1,286557223,60
1,286557223,50
1,286557223,60
1,286557223,40
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,80
1,286557223,70
1,286557223,40
1,286557223,10
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,60
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,60
1,286557223,10
1,286557223,60
1,286557223,50
1,286557223,30
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,70
1,286557223,20
1,286557223,10
1,286557223,50
1,286557223,70
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,70
1,286557223,20
1,286557223,60
1,286557223,60
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,70
1,286557223,50
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,50
1,286557223,60
1,286557223,40
1,286557223,50
1,286557223,60
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,10
1,286557223,20
1,286557223,40
1,286557223,20
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,60
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,40
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,80
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,60
1,286557223,30
1,286557223,50
1,286557223,60
1,286557223,70
1,286557223,50
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,30
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,50
1,286557223,40
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,50
1,286557223,50
1,286557223,80
1,286557223,50
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,50
1,286557223,50
1,286557223,70
1,286557223,10
1,286557223,70
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,60
1,286557223,50
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,60
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,10
1,286557223,30
1,286557223,70
1,286557223,70
1,286557223,50
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,50
1,286557223,70
1,286557223,10
1,286557223,80
1,286557223,50
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,50
1,286557223,20
1,286557223,70
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,50
1,286557223,40
1,286557223,70
1,286557223,60
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,70
1,286557223,30
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,10
1,286557223,70
1,286557223,50
1,286557223,40
1,286557223,40
1,286557223,40
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,50
1,286557223,30
1,286557223,40
1,286557223,60
1,286557223,30
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,50
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,20
1,286557223,20
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,70
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,50
1,286557223,70
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,80
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,70
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,70
1,286557223,20
1,286557223,70
1,286557223,30
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,60
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,60
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,40
1,286557223,10
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,40
1,286557223,20
1,286557223,20
1,286557223,50
1,286557223,20
1,286557223,80
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,20
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,70
1,286557223,30
1,286557223,20
1,286557223,50
1,286557223,40
1,286557223,30
1,286557223,50
1,286557223,30
1,286557223,20
1,286557223,80
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,40
1,286557223,20
1,286557223,70
1,286557223,10
1,286557223,40
1,286557223,40
1,286557223,20
1,286557223,70
1,286557223,10
1,286557223,70
1,286557223,30
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,20
1,286557223,70
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,70
1,286557223,10
1,286557223,30
1,286557223,30
1,286557223,40
1,286557223,50
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,30
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,30
1,286557223,30
1,286557223,20
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,60
1,286557223,40
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,40
1,286557223,70
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,50
1,286557223,30
1,286557223,10
1,286557223,80
1,286557223,40
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,10
1,286557223,70
1,286557223,10
1,286557223,30
1,286557223,80
1,286557223,10
1,286557223,30
1,286557223,60
1,286557223,10
1,286557223,60
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,50
1,286557223,60
1,286557223,10
1,286557223,10
1,286557223,60
1,286557223,40
1,286557223,60
1,286557223,30
1,286557223,30
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,70
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,20
1,286557223,40
1,286557223,30
1,286557223,50
1,286557223,10
1,286557223,50
1,286557223,40
1,286557223,20
1,286557223,10
1,286557223,50
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,40
1,286557223,10
1,286557223,10
1,286557223,70
1,286557223,30
1,286557223,70
1,286557223,10
1,286557223,20
1,286557223,70
1,286557223,40
1,286557223,10
1,286557223,60
1,286557223,30
1,286557223,70
1,286557223,20
1,286557223,60
1,286557223,10
1,286557223,20
1,286557223,10
1,286557223,30
1,286557223,20
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,10
1,286557223,20
1,286557223,50
1,286557223,10
1,286557223,50
1,286557223,10
1,286557223,30
1,286557223,40
1,286557223,30
1,286557223,10
